Model,Accuracy,F1-Score
KNN (k=21),0.9272965879265094,0.9366310472451624
NN (best config),0.9280839895013123,0.9371809315307212
GNB (best smoothing),0.9178477690288716,0.9288760193975405
Ensemble (EC3),0.9275590551181102,0.9366527441329889
