model,accuracy,f1_score
Decision Tree (thr=0.6),0.8638060897435897,0.862340090985762
KNN (k=3),0.8133333333333332,0.7847847056151277
GaussianNB (vs=1e-07),0.6723331876456877,0.4642780985687164
Ensemble (DT+KNN+GNB+RF),0.8298106060606061,0.7900840212127378
