model,mean_accuracy,mean_f1_weighted
k-NN (best k),0.953421052631579,0.9536949684804027
Random Forest (best ntree),0.7539473684210526,0.648307265489928
Gaussian NB,0.7131578947368421,0.728347975759303
Gradient Boosting (best grid),0.9326315789473683,0.9305818368349836
Majority vote ensemble,0.9378947368421053,0.9366953631212898
