model,mean_accuracy,mean_f1_weighted
k-NN (best k),0.9788454376163873,0.9787265286382676
Random Forest (best ntree),0.888699565487275,0.8850114114354461
Gaussian NB,0.8425108628181253,0.8438921700490966
Gradient Boosting (best grid),0.97495965238982,0.9748361291394018
Majority vote ensemble,0.9615859714463065,0.9615535500708342
